Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,PC1,PC2,Archetype1_prob,Archetype2_prob,Archetype3_prob,Dominant_archetype
Exp58L,male,wild,WT,delta,00079481c8,23,-1.96070764044097,5.73925883338116,0.0,0.6275824606505374,0.3724175393494626,2
Exp58L,male,wild,WT,alpha,0007945de2,23,0.7638800716931158,4.249824097056919,0.13491398030054672,0.5268773868692532,0.3382086328302001,2
Exp58L,male,wild,WT,alpha,0007945de2,23,-1.5648613871679693,2.6828022723295977,0.09694197063191634,0.39753485523159504,0.5055231741364886,3
Exp58L,male,wild,WT,alpha,0007945de2,23,-2.9637137516801153,1.9512747338924323,0.06585456787260532,0.33736085691109097,0.5967845752163037,3
Exp58L,male,wild,WT,alpha,0007945de2,23,-5.5313394543708245,0.47981916781171907,0.013872563325844163,0.21615876905273054,0.7699686676214252,3
Exp58L,male,wild,WT,alpha,0007945de2,23,-2.618722362624935,3.650226387898535,0.013595810745833152,0.47903717249409494,0.5073670167600719,3
Exp58L,male,wild,WT,alpha,0007945de2,23,-3.2266875782867364,4.36557172501688,0.0,0.5181067306587709,0.48189326934122906,2
Exp58L,male,wild,WT,epsilon,7946132,23,-3.0428011650687012,2.877820563233942,0.02590082771101829,0.4148029728876049,0.5592961994013769,3
Exp58L,male,wild,WT,epsilon,7946132,23,-2.0905714823308634,0.583137840448641,0.15726825463342575,0.22250875194714495,0.6202229934194293,3
Exp58L,male,wild,WT,epsilon,7946132,23,-2.0548473387412067,3.1557659408806322,0.05727651146418486,0.4373637770565187,0.5053597114792964,3
Exp58L,male,wild,WT,epsilon,7946132,23,-1.3047289856766824,3.9262364121046303,0.05902207666127969,0.5012203063782988,0.43975761696042154,2
Exp58L,male,wild,WT,epsilon,7946132,23,-1.809176373281436,4.973713771658383,0.0,0.5867361979106329,0.41326380208936714,2
Exp58L,male,wild,WT,epsilon,7946132,23,-2.0731048555311355,8.169863326582098,0.0,0.75012816345594,0.2498718365440599,2
Exp58R,male,wild,WT,alpha,00079474dd,23,1.7910091947036308,0.16633125001101143,0.3400829414227975,0.1851232221765953,0.4747938364006072,3
Exp58R,male,wild,WT,alpha,00079474dd,23,4.107958695482967,-1.0770339744667088,0.4884550532379181,0.07973606231534398,0.431808884446738,1
Exp58R,male,wild,WT,alpha,00079474dd,23,5.27230331278032,-3.331159243111881,0.5654980803007722,0.0,0.43450191969922775,1
Exp58R,male,wild,WT,alpha,00079474dd,23,5.820909442565991,-3.063774272724706,0.5888446415010385,0.0,0.4111553584989614,1
Exp58R,male,wild,WT,alpha,00079474dd,23,5.3654017717944225,-3.8010456439214195,0.565762843398281,0.0,0.43423715660171897,1
Exp58R,male,wild,WT,alpha,00079474dd,23,2.8535511269415745,-1.584595849005655,0.45472032830321163,0.038173087201370755,0.5071065844954177,3
Exp58R,male,wild,WT,delta,7948811,23,-2.3443161418806033,-1.1048900066500091,0.21300680621737736,0.0816843908465326,0.7053088029360901,3
Exp58R,male,wild,WT,delta,7948811,23,-0.9442679170447852,-1.6723874305397,0.2954085195960288,0.03335657103741897,0.6712349093665523,3
Exp58R,male,wild,WT,delta,7948811,23,-2.191260508034518,-1.210611960067019,0.22373891798637685,0.0727525593153249,0.7035085226982983,3
Exp58R,male,wild,WT,delta,7948811,23,-1.8975408727591754,-1.8320987004681197,0.26085343497615743,0.020648289535293744,0.7184982754885488,3
Exp58R,male,wild,WT,delta,7948811,23,-0.6300612523694908,-3.37258179745906,0.3390597132397616,0.0,0.6609402867602384,3
Exp58R,male,wild,WT,delta,7948811,23,-4.549235452805927,-2.1806631423200686,0.15988326317404977,0.0,0.8401167368259501,3
Exp58R,male,wild,WT,gamma,00079477ca,23,2.132047517166594,-1.9140700235854573,0.436798292007278,0.011131803043113456,0.5520699049496086,3
Exp58R,male,wild,WT,gamma,00079477ca,23,3.735249479573782,-3.1452301486670455,0.5070607164579809,0.0,0.4929392835420192,1
Exp58R,male,wild,WT,gamma,00079477ca,23,-0.10480052754825644,-2.6510043994611148,0.35274455254537124,0.0,0.6472554474546287,3
Exp58R,male,wild,WT,gamma,00079477ca,23,4.61864382089773,-3.8536032894321774,0.5378794498329655,0.0,0.4621205501670345,1
Exp58R,male,wild,WT,gamma,00079477ca,23,3.1914690404775263,-3.0106629823692086,0.48603228392483344,0.0,0.5139677160751666,3
Exp58R,male,wild,WT,gamma,00079477ca,23,4.071048684980915,-3.3514951482692124,0.5193859923839533,0.0,0.4806140076160467,1
Exp58R,male,wild,WT,beta,7945855,23,6.54360781676511,-0.5597812222742122,0.5724359160434522,0.12132582731675065,0.3062382566397972,1
Exp58R,male,wild,WT,beta,7945855,23,5.516115545956673,-1.8035623137372552,0.5774800982424473,0.01811981705237009,0.4044000847051826,1
Exp58R,male,wild,WT,beta,7945855,23,5.62325018105597,-2.1888461322158776,0.5889532066546127,0.0,0.41104679334538735,1
Exp58R,male,wild,WT,beta,7945855,23,6.757931492761112,-2.460437611304755,0.6328517374449196,0.0,0.36714826255508043,1
Exp58R,male,wild,WT,beta,7945855,23,6.879110413335107,-2.581273806281084,0.6362153800636849,0.0,0.3637846199363151,1
Exp58R,male,wild,WT,beta,7945855,23,3.2118113976608753,-1.5346716396840978,0.4681053863312055,0.04210563745327883,0.4897889762155156,3
Exp58R,male,wild,WT,epsilon,7949211,23,2.7489205413044204,-0.9832766293854321,0.426506121730742,0.08846758297657814,0.4850262952926798,3
Exp58R,male,wild,WT,epsilon,7949211,23,3.0855823112722494,-3.643346770792517,0.4814278329890794,0.0,0.5185721670109207,3
Exp58R,male,wild,WT,epsilon,7949211,23,9.196247275139916,-4.209533616287019,0.7003918192485711,0.0,0.2996081807514289,1
Exp58R,male,wild,WT,epsilon,7949211,23,5.347564696246039,-3.475465066880679,0.567349503342528,0.0,0.4326504966574721,1
Exp58R,male,wild,WT,epsilon,7949211,23,5.878849982280981,-4.508364290221835,0.5792576946517077,0.0,0.4207423053482923,1
Exp58R,male,wild,WT,epsilon,7949211,23,3.801931510239467,-3.0290945886746843,0.5099885862652325,0.0,0.4900114137347677,1
Exp61L,female,wild,WT,beta,0007947d6d,26,6.438819296277544,-1.5290434103904669,0.6061943511633124,0.04043765697074936,0.35336799186593826,1
Exp61L,female,wild,WT,beta,0007947d6d,26,-4.647753946388756,-1.6626724463819873,0.1362919939975341,0.03662178716421739,0.8270862188382485,3
Exp61L,female,wild,WT,beta,0007947d6d,26,-3.404609093290084,-0.931309960845784,0.1607122133207429,0.0968851646201995,0.7424026220590576,3
Exp61L,female,wild,WT,beta,0007947d6d,26,-3.4521459810512183,-0.42394281733339634,0.13865267364665634,0.13929448785423484,0.7220528384991087,3
Exp61L,female,wild,WT,beta,0007947d6d,26,-4.096530567015385,-1.3897210174507264,0.1491462810197,0.05905483091768818,0.7917988880626118,3
Exp61L,female,wild,WT,beta,0007947d6d,26,-3.2205670950929193,0.5096542150608138,0.11173597695419639,0.2171197211031781,0.6711443019426255,3
Exp61L,female,wild,WT,alpha,0007946daf,26,0.41518490346661097,-2.374253600362622,0.37164775886159307,0.0,0.6283522411384069,3
Exp61L,female,wild,WT,alpha,0007946daf,26,-0.6591486335565556,-2.0686952602763284,0.3232682496768426,6.606207391468558e-05,0.6766656882492428,3
Exp61L,female,wild,WT,alpha,0007946daf,26,1.582889610693385,-2.2386042066701584,0.41951899271996806,0.0,0.5804810072800318,3
Exp61L,female,wild,WT,alpha,0007946daf,26,1.111196817553155,-3.0616739038818377,0.40434811810909943,0.0,0.5956518818909006,3
Exp61L,female,wild,WT,alpha,0007946daf,26,-1.7108141253483664,-1.5052231451623292,0.2559572330421918,0.0478268444915383,0.6962159224662698,3
Exp61L,female,wild,WT,alpha,0007946daf,26,1.11468215577601,-1.9873773533961299,0.39608644255492237,0.005682873268292754,0.5982306841767848,3
Exp61L,female,wild,WT,epsilon,7948757,26,5.0832180821957795,-3.9149177605048986,0.5546430428881531,0.0,0.44535695711184686,1
Exp61L,female,wild,WT,epsilon,7948757,26,-0.7748182730594485,-0.6270167822052461,0.2614180438296313,0.12055885681053721,0.6180230993598316,3
Exp61L,female,wild,WT,epsilon,7948757,26,-2.181211215492088,-0.5929037503647215,0.1997931906180125,0.12433996304612555,0.675866846335862,3
Exp61L,female,wild,WT,epsilon,7948757,26,-2.6041447935138486,-0.08675181244716997,0.16169192828001686,0.16689650814584597,0.6714115635741372,3
Exp61L,female,wild,WT,epsilon,7948757,26,-1.3674396344157786,-1.2810931208812562,0.2618296446635801,0.06631979353949159,0.6718505617969283,3
Exp61L,female,wild,WT,epsilon,7948757,26,1.8931734147576307,0.6648792904345945,0.3247876871255781,0.22669674447003063,0.4485155684043913,3
